Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.00911863707006,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7002224922180,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.019558620
2,0.007687971927226,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6983811855316,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.023003580
3,0.008118919096887,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7004823684692,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.026417380
4,0.01443999446929,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6996467113495,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.029854840
5,0.01416174694896,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6957645416260,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.033282420
6,0.01981048472226,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7096285820007,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.036702340
7,0.01458393409848,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6939232349396,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.040147420
8,0.01425604335964,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6999619007111,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.043554280
9,0.01544048450887,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6986415386200,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.046986100
10,0.02237621694803,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7040197849274,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.050409660
11,0.01723115518689,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7003371715546,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.053821040
12,0.01929509453475,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6982657909393,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.057230380
13,0.01533468812704,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6947836875916,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.060667140
14,0.01415014918894,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6955339908600,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.064096400
15,0.01572335883975,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6950435638428,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.067510580
16,0.0193515047431,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6987562179565,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.070955860
17,0.01772945187986,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7011728286743,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.074373960
18,0.01846189796925,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7040498256683,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.077802640
19,0.0154206417501,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6995320320129,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.081229140
20,0.01584269478917,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6946685314178,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.084652440
21,0.01561085507274,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7007975578308,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.088100980
22,0.01691799797118,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.6999919414520,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.091514340
23,0.01826094649732,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7072119712830,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.094925000
24,0.01518995594233,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7046253681183,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.098359640
25,0.01383223757148,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7039046287537,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.101782900
26,0.01503267418593,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,3.7024090290070,Volt DC,10,T,2W,F,F,03/04/2024,18:42:34,.105209480
